Rndrng_NPI,Tot_Benes,Avg_Mdcr_Stdzd_Amt,Tot_Mdcr_Stdzd_Amt,Labels
1013043314,341,1518.2580338830003,517725.99,3
1013052216,1015,610.7016733688,619862.2,0
1013055813,3154,7662.131158837201,24166361.67,1
1013058213,2616,1047.8110163036997,2741073.62,3
1013058452,1597,710.3374536319999,1134408.91,0
1013059781,906,2466.4108066950002,2234568.19,3
1013064823,153,496.522934592,75968.01,0
1013065937,14,1.8692,26.17,0
1013073873,428,2011.095012159,860748.67,3
1013074632,1019,4847.881079098601,4939990.82,1
1013074889,1792,893.5661155251,1601270.48,3
1013078294,531,611.7585880901,324843.81,0
1013079649,1860,5947.628309382,11062588.66,1
1013086420,2096,2853.0621536006984,5980018.27,3
1013092840,52,270.78054002,14080.59,0
1013093061,434,1502.6091280520002,652132.36,3
1013094382,2684,5377.355285995802,14432821.59,1
1013095660,641,762.207409933,488574.95,0
1013096940,144,388.307132632,55916.23,0
1013097500,129,487.832095238,62930.34,0
1013098870,4138,5169.6789678018,21392131.57,1
1013107697,872,1196.787141953,1043598.39,0
1013108141,680,1119.0091305869998,760926.21,0
1013112622,303,1583.9758753990004,479944.69,3
1013118199,159,1457.758026112,231783.53,0
1013126440,1406,6538.688031758,9193395.37,1
1013127638,446,781.246195831,348435.8,0
1013127836,271,572.550174384,155161.1,0
1013127919,162,360.150771908,58344.43,0
1013128495,416,2397.7158929699,997449.81,3
1013128792,576,865.305619423,498416.04,0
1013133560,552,784.095028908,432820.46,0
1013136886,1016,2185.531569023,2220500.07,3
1013141431,348,496.16101871200004,172664.03,0
1013144989,111,1417.91612055,157388.69,0
1013152974,356,664.8159311730001,236674.47,0
1013155019,86,329.02928571,28296.52,0
1013158013,236,2063.192247961,486913.37,3
1013159029,490,1632.0079558220996,799683.9,3
1013166701,232,753.017272944,174700.01,0
1013171313,74,192.079672131,14213.9,0
1013171420,2816,2090.3782593937003,5886505.18,3
1013172253,171,571.930570388,97800.13,0
1013173590,3284,4996.7285998011,16409256.72,1
1013174481,168,309.912824555,52065.35,0
1013175439,338,311.74278721300004,105369.06,0
1013175769,611,1758.469599208,1074424.93,3
1013178466,949,1199.4985794247998,1138324.15,3
1013179878,181,737.67510511,133519.19,0
1013179928,485,4501.661938184,2183306.04,1
1013180108,342,503.00183266500005,172026.63,0
1013184423,1824,7722.300164155998,14085475.5,1
1013184571,212,420.587851738,89164.62,0
1013191733,172,525.501192338,90386.21,0
1013191790,452,536.26500347,242391.78,0
1013193705,2508,6559.556124731899,16451366.76,1
1013199058,299,549.073845246,164173.08,0
1013200328,11961,3396.7605413382003,40628652.83,2
1013208149,928,1755.384028073,1628996.38,3
1013209550,231,1199.2216351200002,277020.2,0
1013214535,400,597.0780485546001,238831.22,0
1013234079,110,286.351595092,31498.68,0
1013235753,132,644.881570909,85124.37,0
1013236660,585,1565.5294285759996,915834.72,3
